School Name,Quality Score,Letter Grade,ZIP Code,Academic Score,Resources Score,Equity Score,Outcomes Score,Strengths,Areas for Improvement
ANDERSON ELEMENTARY SCHOOL,21.6,F,30288,24.0,11.0,17.0,38.0,"Academic, Outcomes","Resources, Equity"
ASA HILLIARD ELEMENTARY SCHOOL,21.5,F,30344,24.0,17.0,18.0,25.0,"Academic, Outcomes","Resources, Equity"
ASHFORD PARK ELEMENTARY SCHOOL,25.9,D,30319,26.0,12.0,5.0,75.0,"Academic, Outcomes","Resources, Equity"
ATLANTA CLASSICAL ACADEMY,30.3,C,30305,27.0,49.0,8.0,50.0,"Resources, Outcomes","Academic, Equity"
ATLANTA HEIGHTS CHARTER SCHOOL,27.5,C,30331,24.0,20.0,37.0,38.0,"Equity, Outcomes","Academic, Resources"
ATLANTA NEIGHBORHOOD CHARTER - ELEMENTARY,23.7,D,30315,24.0,25.0,4.0,50.0,"Resources, Outcomes","Academic, Equity"
ATLANTA NEIGHBORHOOD CHARTER - MIDDLE,23.6,D,30316,26.0,21.0,3.0,50.0,"Academic, Outcomes","Resources, Equity"
ATLANTA SMART ACADEMY,20.8,F,30311,25.0,14.000000000000002,8.0,38.0,"Academic, Outcomes","Resources, Equity"
ATLANTA UNBOUND ACADEMY,20.1,F,30337,22.0,18.0,7.000000000000001,38.0,"Academic, Outcomes","Resources, Equity"
AVONDALE ELEMENTARY SCHOOL,22.1,D,30002,24.0,13.0,16.0,38.0,"Academic, Outcomes","Resources, Equity"
B.E.S.T ACADEMY,19.9,F,30318,22.0,23.0,8.0,25.0,"Resources, Outcomes","Academic, Equity"
BARACK AND MICHELLE OBAMA ACADEMY,20.8,F,30315,23.0,23.0,11.0,25.0,"Academic, Resources, Outcomes",Equity
BARACK H. OBAMA ELEMENTARY MAGNET SCHOOL OF TECHNOLOGY,31.4,B,30316,28.999999999999996,10.0,38.0,62.0,"Equity, Outcomes","Academic, Resources"
BAZOLINE E. USHER/COLLIER HEIGHTS ELEMENTARY SCHOOL,21.4,F,30318,23.0,20.0,17.0,25.0,"Academic, Outcomes","Resources, Equity"
BEACON HILL MIDDLE SCHOOL,32.6,B,30030,41.0,12.0,14.000000000000002,62.0,"Academic, Outcomes","Resources, Equity"
BEECHER HILLS ELEMENTARY SCHOOL,21.3,F,30311,23.0,21.0,7.000000000000001,38.0,"Academic, Outcomes","Resources, Equity"
BENJAMIN E. MAYS HIGH SCHOOL,27.1,C,30331,21.0,24.0,45.0,25.0,"Equity, Outcomes","Academic, Resources"
BENTEEN ELEMENTARY SCHOOL,18.9,F,30315,22.0,19.0,8.0,25.0,"Academic, Outcomes","Resources, Equity"
BOB MATHIS ELEMENTARY SCHOOL,21.6,F,30034,24.0,14.000000000000002,14.000000000000002,38.0,"Academic, Outcomes","Resources, Equity"
BOLTON ACADEMY ELEMENTARY,24.2,D,30318,25.0,16.0,15.0,50.0,"Academic, Outcomes","Resources, Equity"
BOOKER T. WASHINGTON HIGH SCHOOL,22.7,D,30314,21.0,21.0,35.0,12.0,"Academic, Resources, Equity",Outcomes
BRIAR VISTA ELEMENTARY SCHOOL,23.6,D,30324,25.0,11.0,16.0,50.0,"Academic, Outcomes","Resources, Equity"
BRIARLAKE ELEMENTARY SCHOOL,23.5,D,30033,26.0,15.0,9.0,50.0,"Academic, Outcomes","Resources, Equity"
BROOKVIEW ELEMENTARY SCHOOL,22.3,D,30344,24.0,11.0,20.0,38.0,"Academic, Outcomes","Resources, Equity"
BURGESS-PETERSON ELEMENTARY SCHOOL,23.9,D,30316,25.0,16.0,13.0,50.0,"Academic, Outcomes","Resources, Equity"
CARVER HIGH SCHOOL,22.9,D,30315,21.0,38.0,20.0,12.0,"Academic, Resources","Equity, Outcomes"
CARVER HIGH SCHOOL EARLY COLLEGE,20.7,F,30315,21.0,17.0,20.0,25.0,"Academic, Outcomes","Resources, Equity"
CARY REYNOLDS ELEMENTARY SCHOOL,20.0,F,30319,23.0,13.0,9.0,38.0,"Academic, Outcomes","Resources, Equity"
CASCADE ELEMENTARY SCHOOL,17.7,F,30311,21.0,17.0,13.0,12.0,"Academic, Resources","Equity, Outcomes"
CEDAR GROVE MIDDLE SCHOOL,28.2,C,30034,34.0,13.0,31.0,25.0,"Academic, Equity","Resources, Outcomes"
CENTENNIAL PLACE ACADEMY (CHARTER),30.0,C,30313,26.0,39.0,25.0,38.0,"Resources, Outcomes","Academic, Equity"
CHAPEL HILL ELEMENTARY SCHOOL,22.6,D,30034,26.0,12.0,23.0,25.0,"Academic, Outcomes","Resources, Equity"
CHAPEL HILL MIDDLE SCHOOL,29.0,C,30034,39.0,13.0,23.0,25.0,"Academic, Outcomes","Resources, Equity"
CHARLES DREW CHARTER JA/SR ACADEMY,34.2,B,30317,28.000000000000004,59.0,20.0,38.0,"Resources, Outcomes","Academic, Equity"
CHARLES L. GIDEONS ELEMENTARY SCHOOL,20.1,F,30310,22.0,21.0,12.0,25.0,"Academic, Outcomes","Resources, Equity"
CHARLES R. DREW CHARTER SCHOOL,33.7,B,30317,28.000000000000004,43.0,18.0,62.0,"Resources, Outcomes","Academic, Equity"
CLAIREMONT ELEMENTARY SCHOOL,23.4,D,30030,25.0,13.0,4.0,62.0,"Academic, Outcomes","Resources, Equity"
CLEVELAND AVENUE ELEMENTARY SCHOOL,19.7,F,30315,22.0,21.0,9.0,25.0,"Academic, Outcomes","Resources, Equity"
COBB HORIZON HIGH SCHOOL,23.2,D,30339,24.0,13.0,14.000000000000002,50.0,"Academic, Outcomes","Resources, Equity"
COLLEGE PARK ELEMENTARY,22.2,D,30337,24.0,15.0,23.0,25.0,"Academic, Outcomes","Resources, Equity"
COLUMBIA ELEMENTARY SCHOOL,20.4,F,30032,23.0,13.0,18.0,25.0,"Academic, Outcomes","Resources, Equity"
COLUMBIA HIGH SCHOOL,24.1,D,30032,21.0,17.0,38.0,25.0,"Equity, Outcomes","Academic, Resources"
COLUMBIA MIDDLE SCHOOL,26.4,C,30034,32.0,14.000000000000002,26.0,25.0,"Academic, Equity","Resources, Outcomes"
CONLEY HILLS ELEMENTARY SCHOOL,18.8,F,30344,23.0,16.0,17.0,12.0,"Academic, Equity","Resources, Outcomes"
CONTINENTAL COLONY ELEMENTARY SCHOOL,18.3,F,30331,22.0,18.0,14.000000000000002,12.0,"Academic, Resources","Equity, Outcomes"
CORALWOOD EDUCATION CENTER,24.5,D,30033,21.0,43.0,4.0,38.0,"Resources, Outcomes","Academic, Equity"
CORETTA SCOTT KING YOUNG WOMEN'S LEADERSHIP ACADEMY,22.5,D,30318,23.0,22.0,12.0,38.0,"Academic, Outcomes","Resources, Equity"
CRAWFORD LONG MIDDLE SCHOOL,25.9,D,30354,32.0,19.0,27.0,12.0,"Academic, Equity","Resources, Outcomes"
CROSS KEYS HIGH SCHOOL,32.3,B,30319,21.0,17.0,69.0,38.0,"Equity, Outcomes","Academic, Resources"
D. M. THERRELL HIGH SCHOOL,21.8,D,30311,21.0,21.0,31.0,12.0,"Academic, Resources, Equity",Outcomes
DAVID T HOWARD MIDDLE SCHOOL,30.3,C,30312,37.0,15.0,17.0,50.0,"Academic, Outcomes","Resources, Equity"
DECATUR HIGH SCHOOL,26.4,C,30030,22.0,17.0,21.0,62.0,"Academic, Outcomes","Resources, Equity"
